date,gwdepth_ft
2026-02-10 04:45:00+00:00,98.02
2026-02-10 04:30:00+00:00,97.99
2026-02-10 04:15:00+00:00,97.97
2026-02-10 04:00:00+00:00,97.94
2026-02-10 03:45:00+00:00,97.92
2026-02-10 03:30:00+00:00,97.89
2026-02-10 03:15:00+00:00,97.86
2026-02-10 03:00:00+00:00,97.84
2026-02-10 02:45:00+00:00,97.81
2026-02-10 02:30:00+00:00,97.79
2026-02-10 02:15:00+00:00,97.76
2026-02-10 02:00:00+00:00,97.73
2026-02-10 01:45:00+00:00,97.71
2026-02-10 01:30:00+00:00,97.68
2026-02-10 01:15:00+00:00,97.65
2026-02-10 01:00:00+00:00,97.63
2026-02-10 00:45:00+00:00,97.6
2026-02-10 00:30:00+00:00,97.58
2026-02-10 00:15:00+00:00,97.55
2026-02-10 00:00:00+00:00,97.53
2026-02-09 23:45:00+00:00,97.5
2026-02-09 23:30:00+00:00,97.48
2026-02-09 23:15:00+00:00,97.45
2026-02-09 23:00:00+00:00,97.43
2026-02-09 22:45:00+00:00,97.41
2026-02-09 22:30:00+00:00,97.39
2026-02-09 22:15:00+00:00,97.36
2026-02-09 22:00:00+00:00,97.34
2026-02-09 21:45:00+00:00,97.32
2026-02-09 21:30:00+00:00,97.3
2026-02-09 21:15:00+00:00,97.28
2026-02-09 21:00:00+00:00,97.26
2026-02-09 20:45:00+00:00,97.25
2026-02-09 20:30:00+00:00,97.23
2026-02-09 20:15:00+00:00,97.21
2026-02-09 20:00:00+00:00,97.2
2026-02-09 19:45:00+00:00,97.19
2026-02-09 19:30:00+00:00,97.17
2026-02-09 19:15:00+00:00,97.16
2026-02-09 19:00:00+00:00,97.15
2026-02-09 18:45:00+00:00,97.14
2026-02-09 18:30:00+00:00,97.13
2026-02-09 18:15:00+00:00,97.12
2026-02-09 18:00:00+00:00,97.12
2026-02-09 17:45:00+00:00,97.11
2026-02-09 17:30:00+00:00,97.11
2026-02-09 17:15:00+00:00,97.11
2026-02-09 17:00:00+00:00,97.1
2026-02-09 16:45:00+00:00,97.1
2026-02-09 16:30:00+00:00,97.1
2026-02-09 16:15:00+00:00,97.1
2026-02-09 16:00:00+00:00,97.1
2026-02-09 15:45:00+00:00,97.1
2026-02-09 15:30:00+00:00,97.1
2026-02-09 15:15:00+00:00,97.1
2026-02-09 15:00:00+00:00,97.1
2026-02-09 14:45:00+00:00,97.11
2026-02-09 14:30:00+00:00,97.11
2026-02-09 14:15:00+00:00,97.12
2026-02-09 14:00:00+00:00,97.13
2026-02-09 13:45:00+00:00,97.14
2026-02-09 13:30:00+00:00,97.15
2026-02-09 13:15:00+00:00,97.17
2026-02-09 13:00:00+00:00,97.18
2026-02-09 12:45:00+00:00,97.19
2026-02-09 12:30:00+00:00,97.21
2026-02-09 12:15:00+00:00,97.22
2026-02-09 12:00:00+00:00,97.24
2026-02-09 11:45:00+00:00,97.26
2026-02-09 11:30:00+00:00,97.28
2026-02-09 11:15:00+00:00,97.3
2026-02-09 11:00:00+00:00,97.33
2026-02-09 10:45:00+00:00,97.36
2026-02-09 10:30:00+00:00,97.38
2026-02-09 10:15:00+00:00,97.41
2026-02-09 10:00:00+00:00,97.44
2026-02-09 09:45:00+00:00,97.48
2026-02-09 09:30:00+00:00,97.51
2026-02-09 09:15:00+00:00,97.54
2026-02-09 09:00:00+00:00,97.57
2026-02-09 08:45:00+00:00,97.61
2026-02-09 08:30:00+00:00,97.64
2026-02-09 08:15:00+00:00,97.67
2026-02-09 08:00:00+00:00,97.71
2026-02-09 07:45:00+00:00,97.74
2026-02-09 07:30:00+00:00,97.78
2026-02-09 07:15:00+00:00,97.82
2026-02-09 07:00:00+00:00,97.86
2026-02-09 06:45:00+00:00,97.9
2026-02-09 06:30:00+00:00,97.94
2026-02-09 06:15:00+00:00,97.98
2026-02-09 06:00:00+00:00,98.02
2026-02-09 05:45:00+00:00,98.06
2026-02-09 05:30:00+00:00,98.11
2026-02-09 05:15:00+00:00,98.15
2026-02-09 05:00:00+00:00,98.19
2026-02-09 04:45:00+00:00,98.23
2026-02-09 04:30:00+00:00,98.28
2026-02-09 04:15:00+00:00,98.32
2026-02-09 04:00:00+00:00,98.36
2026-02-09 03:45:00+00:00,98.41
2026-02-09 03:30:00+00:00,98.45
2026-02-09 03:15:00+00:00,98.49
2026-02-09 03:00:00+00:00,98.54
2026-02-09 02:45:00+00:00,98.58
2026-02-09 02:30:00+00:00,98.62
2026-02-09 02:15:00+00:00,98.67
2026-02-09 02:00:00+00:00,98.71
2026-02-09 01:45:00+00:00,98.75
2026-02-09 01:30:00+00:00,98.8
2026-02-09 01:15:00+00:00,98.84
2026-02-09 01:00:00+00:00,98.88
2026-02-09 00:45:00+00:00,98.93
2026-02-09 00:30:00+00:00,98.97
2026-02-09 00:15:00+00:00,99.01
2026-02-09 00:00:00+00:00,99.06
2026-02-08 23:45:00+00:00,99.1
2026-02-08 23:30:00+00:00,99.15
2026-02-08 23:15:00+00:00,99.19
2026-02-08 23:00:00+00:00,99.23
2026-02-08 22:45:00+00:00,99.28
2026-02-08 22:30:00+00:00,99.32
2026-02-08 22:15:00+00:00,99.37
2026-02-08 22:00:00+00:00,99.41
2026-02-08 21:45:00+00:00,99.45
2026-02-08 21:30:00+00:00,99.5
2026-02-08 21:15:00+00:00,99.54
2026-02-08 21:00:00+00:00,99.58
2026-02-08 20:45:00+00:00,99.63
2026-02-08 20:30:00+00:00,99.67
2026-02-08 20:15:00+00:00,99.71
2026-02-08 20:00:00+00:00,99.76
2026-02-08 19:45:00+00:00,99.8
2026-02-08 19:30:00+00:00,99.85
2026-02-08 19:15:00+00:00,99.89
2026-02-08 19:00:00+00:00,99.94
2026-02-08 18:45:00+00:00,99.98
2026-02-08 18:30:00+00:00,100.02
2026-02-08 18:15:00+00:00,100.07
2026-02-08 18:00:00+00:00,100.11
2026-02-08 17:45:00+00:00,100.16
2026-02-08 17:30:00+00:00,100.2
2026-02-08 17:15:00+00:00,100.25
2026-02-08 17:00:00+00:00,100.29
2026-02-08 16:45:00+00:00,100.33
2026-02-08 16:30:00+00:00,100.38
2026-02-08 16:15:00+00:00,100.43
2026-02-08 16:00:00+00:00,100.47
2026-02-08 15:45:00+00:00,100.51
2026-02-08 15:30:00+00:00,100.56
2026-02-08 15:15:00+00:00,100.61
2026-02-08 15:00:00+00:00,100.65
2026-02-08 14:45:00+00:00,100.7
2026-02-08 14:30:00+00:00,100.74
2026-02-08 14:15:00+00:00,100.79
2026-02-08 14:00:00+00:00,100.83
2026-02-08 13:45:00+00:00,100.88
2026-02-08 13:30:00+00:00,100.92
2026-02-08 13:15:00+00:00,100.97
2026-02-08 13:00:00+00:00,101.02
2026-02-08 12:45:00+00:00,101.06
2026-02-08 12:30:00+00:00,101.11
2026-02-08 12:15:00+00:00,101.15
2026-02-08 12:00:00+00:00,101.2
2026-02-08 11:45:00+00:00,101.25
2026-02-08 11:30:00+00:00,101.29
2026-02-08 11:15:00+00:00,101.34
2026-02-08 11:00:00+00:00,101.39
2026-02-08 10:45:00+00:00,101.44
2026-02-08 10:30:00+00:00,101.49
2026-02-08 10:15:00+00:00,101.53
2026-02-08 10:00:00+00:00,101.58
2026-02-08 09:45:00+00:00,101.63
2026-02-08 09:30:00+00:00,101.68
2026-02-08 09:15:00+00:00,101.73
2026-02-08 09:00:00+00:00,101.78
2026-02-08 08:45:00+00:00,101.83
2026-02-08 08:30:00+00:00,101.88
2026-02-08 08:15:00+00:00,101.93
2026-02-08 08:00:00+00:00,101.98
2026-02-08 07:45:00+00:00,102.03
2026-02-08 07:30:00+00:00,102.09
2026-02-08 07:15:00+00:00,102.14
2026-02-08 07:00:00+00:00,102.19
2026-02-08 06:45:00+00:00,102.24
2026-02-08 06:30:00+00:00,102.29
2026-02-08 06:15:00+00:00,102.35
2026-02-08 06:00:00+00:00,102.4
2026-02-08 05:45:00+00:00,102.45
2026-02-08 05:30:00+00:00,102.5
2026-02-08 05:15:00+00:00,102.56
2026-02-08 05:00:00+00:00,102.61
2026-02-08 04:45:00+00:00,102.67
2026-02-08 04:30:00+00:00,102.72
2026-02-08 04:15:00+00:00,102.77
2026-02-08 04:00:00+00:00,102.83
2026-02-08 03:45:00+00:00,102.88
2026-02-08 03:30:00+00:00,102.94
2026-02-08 03:15:00+00:00,102.99
2026-02-08 03:00:00+00:00,103.05
2026-02-08 02:45:00+00:00,103.1
2026-02-08 02:30:00+00:00,103.15
2026-02-08 02:15:00+00:00,103.21
2026-02-08 02:00:00+00:00,103.26
2026-02-08 01:45:00+00:00,103.32
2026-02-08 01:30:00+00:00,103.37
2026-02-08 01:15:00+00:00,103.42
2026-02-08 01:00:00+00:00,103.48
2026-02-08 00:45:00+00:00,103.52
2026-02-08 00:30:00+00:00,103.57
2026-02-08 00:15:00+00:00,103.62
2026-02-08 00:00:00+00:00,103.67
2026-02-07 23:45:00+00:00,103.72
2026-02-07 23:30:00+00:00,103.76
2026-02-07 23:15:00+00:00,103.81
2026-02-07 23:00:00+00:00,103.85
2026-02-07 22:45:00+00:00,103.9
2026-02-07 22:30:00+00:00,103.94
2026-02-07 22:15:00+00:00,103.97
2026-02-07 22:00:00+00:00,104.02
2026-02-07 21:45:00+00:00,104.05
2026-02-07 21:30:00+00:00,104.09
2026-02-07 21:15:00+00:00,104.12
2026-02-07 21:00:00+00:00,104.15
2026-02-07 20:45:00+00:00,104.19
2026-02-07 20:30:00+00:00,104.22
2026-02-07 20:15:00+00:00,104.25
2026-02-07 20:00:00+00:00,104.28
2026-02-07 19:45:00+00:00,104.3
2026-02-07 19:30:00+00:00,104.33
2026-02-07 19:15:00+00:00,104.35
2026-02-07 19:00:00+00:00,104.38
2026-02-07 18:45:00+00:00,104.4
2026-02-07 18:30:00+00:00,104.42
2026-02-07 18:15:00+00:00,104.44
2026-02-07 18:00:00+00:00,104.46
2026-02-07 17:45:00+00:00,104.47
2026-02-07 17:30:00+00:00,104.49
2026-02-07 17:15:00+00:00,104.5
2026-02-07 17:00:00+00:00,104.5
2026-02-07 16:45:00+00:00,104.51
