date,vapour_pressure_deficit_max (kPa),wet_bulb_temperature_2m_mean (Â°F),wind_speed_10m_mean (km/h),ppt,evap,Mean_soil_temperature(°F),surface_pressure_mean (hPa),Mean_soil_moisture(m^3/m^3),Mean_soil_temperature(°F),precip_7d,evap_lag30,gw_lag1
2026-01-01,0.5,30.9,21.8,0.0,0.077,38.0,1011.1,0.334,47.81666666666666,0.0,0.077,10.1
2026-01-02,0.37,33.3,11.5,0.0,0.054,37.9,1010.3,0.33466666666666667,47.25,0.0,0.131,
2026-01-03,0.39,28.6,15.2,0.0,0.049,34.3,1015.9,0.335,46.8375,0.0,0.18,
2026-01-04,0.5,29.3,11.5,0.0,0.06,35.3,1019.7,0.335,46.275,0.0,0.24,
2026-01-05,0.37,34.7,13.0,0.0,0.053,39.2,1022.3,0.335,45.86666666666667,0.0,0.293,
2026-01-06,0.37,44.9,9.2,0.0,0.04,47.9,1012.6,0.335,45.85833333333333,0.0,0.333,
2026-01-07,1.09,48.0,13.6,0.0,0.076,53.9,1011.0,0.33429166666666665,46.37916666666666,0.0,0.40900000000000003,
2026-01-08,0.47,40.6,7.2,0.0,0.052,44.8,1023.1,0.3333333333333333,47.09583333333333,0.0,0.461,
2026-01-09,0.45,46.8,12.2,0.0,0.049,50.0,1023.5,0.33216666666666667,47.56666666666666,0.0,0.51,
2026-01-10,0.4,56.6,14.8,0.063,0.029,58.3,1017.4,0.33233333333333337,48.10833333333333,0.063,0.539,
2026-01-11,0.66,43.3,23.7,0.0,0.065,48.9,1014.6,0.33625,49.05416666666667,0.063,0.604,
2026-01-12,0.58,32.0,18.7,0.0,0.084,38.9,1026.0,0.3377916666666667,49.45416666666667,0.063,0.6880000000000001,
2026-01-13,0.88,36.3,14.1,0.0,0.092,44.2,1019.0,0.3367083333333334,49.199999999999996,0.063,0.78,
2026-01-14,0.8,39.2,18.2,0.0,0.089,47.8,1005.9,0.33512500000000006,49.1,0.063,0.869,
2026-01-15,0.56,32.5,24.5,0.0,0.089,39.4,1002.6,0.3334166666666667,49.09583333333333,0.063,0.958,
2026-01-16,0.54,26.4,21.2,0.0,0.089,33.6,1017.3,0.33158333333333334,48.53333333333333,0.063,1.047,
2026-01-17,1.33,35.9,16.2,0.0,0.112,45.4,1019.8,0.32983333333333337,47.737500000000004,0.0,1.159,
2026-01-18,0.46,37.9,13.5,0.472,0.015,40.3,1014.5,0.32937500000000003,47.729166666666664,0.472,1.174,
2026-01-19,0.48,30.6,16.1,0.0,0.06,35.6,1018.1,0.33887500000000004,47.32083333333333,0.472,1.234,
2026-01-20,0.39,27.0,12.5,0.0,0.06,32.4,1028.3,0.3418333333333334,46.775,0.472,1.294,
2026-01-21,0.66,30.6,13.3,0.0,0.079,37.3,1031.0,0.340625,46.17916666666667,0.472,1.373,
2026-01-22,1.09,40.8,13.8,0.0,0.101,49.1,1021.0,0.33879166666666666,45.987500000000004,0.472,1.474,
2026-01-23,0.98,33.1,6.8,0.0,0.063,40.5,1023.4,0.3365,46.387499999999996,0.472,1.537,
2026-01-24,0.4,17.4,27.3,0.024,0.063,22.6,1035.7,0.33416666666666667,46.4,0.496,1.6,
2026-01-25,0.12,33.5,19.9,1.083,0.009,34.6,1018.6,0.33337500000000003,45.458333333333336,1.107,1.609,
2026-01-26,0.28,27.7,23.6,0.004,0.034,30.9,1013.3,0.33887500000000004,44.5375,1.111,1.643,
2026-01-27,0.39,22.0,25.1,0.0,0.07,27.6,1022.6,0.3405416666666667,43.65,1.111,1.713,
2026-01-28,0.32,22.6,13.0,0.0,0.054,27.6,1021.8,0.33945833333333336,42.6875,1.111,1.7670000000000001,
2026-01-29,0.31,19.9,16.8,0.0,0.054,25.0,1023.1,0.33775,41.7875,1.111,1.821,
2026-01-30,0.25,18.6,16.4,0.0,0.049,23.4,1025.3,0.336125,40.94583333333333,1.111,1.87,
2026-01-31,0.26,16.5,26.9,0.004,0.048,21.2,1019.4,0.33433333333333337,40.2875,1.091,1.841,
2026-02-01,0.29,18.8,37.0,0.0,0.057,23.6,1011.8,0.33245833333333336,39.704166666666666,0.008,1.844,
2026-02-02,0.42,23.3,20.6,0.0,0.07,29.2,1021.4,0.33075000000000004,39.204166666666666,0.004,1.8650000000000002,
2026-02-03,0.75,28.4,8.1,0.0,0.062,33.7,1023.3,0.32945833333333335,38.80833333333333,0.004,1.867,
2026-02-04,0.28,31.9,10.2,0.004,0.031,34.8,1022.2,0.32825,38.5375,0.008,1.8450000000000002,
2026-02-05,0.52,25.4,16.1,0.0,0.07,31.3,1017.4,0.328,38.34166666666666,0.008,1.875,
2026-02-06,0.55,25.7,12.3,0.008,0.06,30.4,1008.2,0.327125,38.49583333333333,0.016,1.859,
2026-02-07,0.32,22.2,40.9,0.028,0.066,26.9,1012.4,0.3265416666666667,38.62083333333334,0.04,1.873,
2026-02-08,0.33,17.0,34.1,0.0,0.066,22.0,1026.0,0.32583333333333336,38.583333333333336,0.04,1.8900000000000001,
2026-02-09,0.37,21.8,15.7,0.0,0.059,26.9,1027.8,0.32495833333333335,38.28333333333333,0.04,1.9200000000000002,
