date,vapour_pressure_deficit_max (kPa),wet_bulb_temperature_2m_mean (°F),wind_speed_10m_mean (km/h),precipitation_sum (inch),et0_fao_evapotranspiration_sum (inch),temperature_2m_mean (°F),surface_pressure_mean (hPa)
1/1/2026,0.57,27,15.4,0,0.064,33.8,1009.1
1/2/2026,0.46,24.9,6.6,0,0.042,30.8,1009.6
1/3/2026,0.37,24.5,5.7,0,0.033,29.9,1014.7
1/4/2026,0.62,25.7,7.6,0,0.051,31.9,1018.2
1/5/2026,0.5,30.7,9.7,0,0.046,35.4,1020.8
1/6/2026,0.57,43.5,7.1,0,0.044,47.3,1010.7
1/7/2026,1.22,46.9,11.1,0,0.082,54,1008.9
1/8/2026,0.66,38.4,4.6,0,0.053,42.6,1021.7
1/9/2026,0.54,46.2,10.2,0,0.053,49.6,1021.9
1/10/2026,0.36,55.3,12.1,0.276,0.016,57,1015.8
1/11/2026,0.6,41.5,14.9,0.012,0.052,47.2,1012.6
1/12/2026,0.53,29.8,10.8,0,0.061,36.1,1023.7
1/13/2026,1,33.6,10.8,0,0.085,41.4,1016.7
1/14/2026,0.89,38.7,14.1,0,0.091,48,1003.6
1/15/2026,0.51,30.8,17.9,0,0.077,37.7,1000.4
1/16/2026,0.48,23.1,13.8,0,0.067,29.7,1015
1/17/2026,1.07,33.8,12.4,0,0.086,42.4,1018
1/18/2026,0.23,36.8,9.2,0.272,0.016,38.9,1013.1
1/19/2026,0.43,27.4,10.9,0,0.049,32,1015.9
1/20/2026,0.46,21.5,10.2,0,0.057,27.4,1026.9
1/21/2026,0.74,23.6,10.9,0,0.071,30.5,1029.7
1/22/2026,0.98,38.4,13.7,0,0.108,47.7,1018.7
1/23/2026,0.95,29,7.6,0,0.069,35.9,1021.9
1/24/2026,0.35,14.7,16.1,0,0.058,19.3,1034.9
1/25/2026,0.08,28.8,13.8,1.413,0.008,30,1017.8
1/26/2026,0.24,25.4,15.4,0,0.034,28.6,1011.2
1/27/2026,0.27,19,11,0,0.042,23.5,1020.1
1/28/2026,0.31,17.8,10.7,0,0.05,22.8,1020.5
1/29/2026,0.31,15.4,12.8,0,0.043,20,1021.6
1/30/2026,0.33,13.7,9.2,0,0.04,18,1023.7
1/31/2026,0.25,13.1,14.1,0,0.041,17.4,1018.7
2/1/2026,0.28,16.1,22.2,0,0.049,20.9,1010.2
2/2/2026,0.52,20.4,13.2,0,0.07,26.7,1018.9
2/3/2026,0.68,24.8,5.2,0,0.062,30.7,1021.5
2/4/2026,0.48,30.9,7.1,0.047,0.04,35.7,1021
2/5/2026,0.47,22.4,11.3,0,0.066,28.5,1016.4
2/6/2026,0.48,21.1,7.5,0,0.055,26.5,1006.5
2/7/2026,0.35,18.3,29.2,0,0.062,22.9,1010
2/8/2026,0.3,14.1,19.8,0,0.054,18.8,1023.7
2/9/2026,0.5,17.4,10.2,0,0.061,22.6,1025.9
